id,amapId,name,type,address,location.lng,location.lat,openHoursText,openingHours,openHoursConfidence,avgCost,rating,source,tags,experienceTags,stayMinutes,waitRisk,crowdRisk,photoScore,quietScore,restScore,familyScore,chatScore,classicScore,localFlavorScore,budgetScore,walkFriendlyScore,note
start_in77_hubin,B0FFIMEKW0,杭州湖滨in77,start,延安路258号(龙翔桥地铁站C口步行200米),120.163749,30.25283,10:00-22:00,[],medium,0,4.9,amap,"集合方便,商场补给,地铁近","start,mall,transit-friendly",5,medium,medium,3,2,4,4,3,3,3,3,5,
scenic_broken_bridge,B023B01EE6,杭州西湖风景名胜区-断桥残雪,scenic,龙井路1号杭州西湖风景名胜区内(东北角),120.151347,30.258151,24小时营业,[],medium,0,4.9,amap,"西湖经典,断桥,核心景点","classic,lake-view,scenic",35,low,high,5,2,2,3,2,5,5,5,3,
scenic_baidi,B0FFFTYEG4,杭州西湖风景名胜区-白堤,scenic,西湖街道龙井路1号杭州西湖风景名胜区内(东北角),120.149189,30.255701,24小时营业,[],medium,0,4.7,amap,"西湖经典,步行友好,湖景","classic,lake-view,walk",35,low,high,5,3,2,3,2,5,5,5,3,
scenic_hubin_qingyu,B023B0BIH2,杭州西湖风景名胜区-湖滨晴雨,scenic,湖滨路(龙翔桥地铁站C口步行320米),120.16176,30.253182,24小时营业,[],medium,0,4.5,amap,"湖滨湖景,近地铁,轻游览","lake-view,scenic,near-metro",25,low,high,4,3,3,4,2,4,4,5,4,
scenic_hubin_park,B023B05MLT,杭州西湖风景名胜区-湖滨公园,scenic,龙井路1号杭州西湖风景名胜区内(东北角),120.158818,30.256583,24小时营业,[],medium,0,4.7,amap,"湖滨公园,湖景,步行友好","lake-view,park,walk",30,low,medium,4,3,3,4,2,4,4,5,4,
photo_yuebo_pavilion,B023B17XBK,杭州西湖风景名胜区-月波亭(白堤),photo,杭州西湖风景名胜区内(东北角),120.145777,30.252015,24小时营业,[],medium,0,3.8,amap,"白堤,亭子,拍照","photo,lake-view,pavilion",20,low,medium,5,3,2,3,2,4,4,5,3,
photo_fourth_park,B023B1D0DW,杭州西湖风景名胜区-四公园,photo,杭州西湖风景名胜区内(龙翔桥地铁站出入口步行370米),120.16034,30.255219,24小时营业,[],medium,0,4.1,amap,"湖滨,近音乐喷泉,拍照","photo,lake-view,near-fountain",20,low,medium,4,3,3,4,2,4,4,5,4,
photo_yigongyuan_pier,B0L1YSDHPW,杭州西湖——公园码头,photo,南山路189号,120.161119,30.250145,06:00-21:00,[],medium,0,3.5,amap,"码头,湖景,拍照","photo,lake-view,pier",20,low,medium,5,3,2,3,2,4,4,5,3,
photo_westlake_stone,B0FFFDG53P,杭州西湖风景名胜区-杭州西湖石刻,photo,湖滨路附近湖滨公园一公园内,120.162796,30.250769,24小时营业,[],medium,0,4.2,amap,"石刻,一公园,拍照","photo,landmark,park",15,low,medium,4,3,2,3,2,3,4,5,4,
coffee_cosmic_joy,B0L0TSAZBH,Cosmic Joy Cafe,coffee,西湖街道北山街28号2层,120.15014,30.259636,09:00-20:30,[],medium,67,4.5,amap,"北山街,咖啡,中段休息","coffee,rest,chat",35,medium,medium,3,4,5,3,5,3,3,2,3,
coffee_starbucks_duanqiao,B0FFGBI4CZ,星巴克(杭州断桥店),coffee,北山街9号,120.152205,30.259702,07:00-22:30,[],medium,30,4.7,amap,"断桥附近,咖啡,可休息","coffee,rest,near-scenic",30,medium,medium,3,3,5,4,4,3,2,3,4,
coffee_starbucks_kerry,B0HADOGYLB,星巴克咖啡(杭州嘉里中心店),coffee,延安路385号嘉里中心购物中心4层L419b号单元,120.162315,30.260815,10:00-22:00,[],medium,30,4.6,amap,"嘉里中心,咖啡,商场休息","coffee,mall,rest",30,low,medium,2,3,5,4,4,2,2,3,5,
coffee_peets_kerry,B0J2UZZL94,EqualParts皮爷咖啡Peet's(杭州嘉里中心店),coffee,延安路385号杭州嘉里中心1层L127b室,120.162221,30.260421,07:00-18:00,[],medium,39,4.6,amap,"嘉里中心,咖啡,聊天","coffee,mall,chat",35,low,medium,2,3,5,3,5,2,2,3,5,
dinner_xinbailu_hubin88,B0J119884W,新白鹿餐厅(湖滨88店),dinner,平海路124号(湖滨88店),120.162138,30.255253,周一至周五10:30-14:00;16:00-21:00;周六至周日及节假日10:30-14:30;16:00-21:00,[],medium,65,4.7,amap,"杭帮菜,湖滨88,晚餐","dinner,local-cuisine,budget",50,medium,medium,2,2,3,4,3,4,5,4,4,
dinner_wangjiangmen_xiaolongxia,B0FFKAZUVG,望江门小龙虾(西湖店),dinner,武林路76号二楼(凤起路地铁站C4口步行310米),120.160598,30.261085,11:00-06:00,[],medium,94,4.7,amap,"武林路,晚餐,聚餐","dinner,seafood,chat",55,medium,medium,2,2,3,3,4,2,3,3,4,
dinner_xinbailu_longyou,B023B08YEK,新白鹿餐厅(龙游路店),dinner,龙游路56号(凤起路地铁站E口步行420米),120.159508,30.262055,10:30-14:00;16:00-21:00,[],medium,65,4.7,amap,"杭帮菜,龙游路,预算友好","dinner,local-cuisine,budget",50,medium,medium,2,2,3,4,3,4,5,4,4,
dinner_yinhu_hangwei,B0KKVUMI1H,印湖杭味·创意杭帮菜(西湖店),dinner,武林街道环城西路28-13号(温德姆酒店楼下近西湖武林夜市),120.158492,30.262382,10:30-22:30,[],medium,74,4.7,amap,"杭帮菜,西湖边,晚餐","dinner,local-cuisine,near-lake",50,medium,medium,2,2,3,4,3,4,5,4,4,
dinner_xinfeng_qingchun,B0FFH0EBLM,新丰小吃(庆春路分店),dinner,庆春路209号天阳明珠商业中心1-2层,120.164389,30.258091,05:00-20:30,[],medium,21,4.6,amap,"杭州小吃,低预算,快餐","dinner,snack,budget",35,low,medium,1,2,3,4,2,3,5,5,5,
dinner_yanlanlou_fountain,B0K2LSOVIE,清真宴兰楼·西北菜·团建聚餐·西湖音乐喷泉店,dinner,湖滨路48号国贸停车场入口直行看到菏韵西子右转20米到店,120.159452,30.257437,09:00-24:00,[],medium,53,4.6,amap,"音乐喷泉附近,低预算,聚餐","dinner,budget,near-fountain",50,medium,medium,2,2,3,3,4,2,2,4,4,
mall_in77_b,B023B1DIOC,杭州湖滨in77B区,mall,延安路245号,120.163391,30.25457,10:00-22:00,[],medium,100,4.7,amap,"湖滨银泰,商场,休息补给","mall,rest,shelter",25,low,high,2,3,5,5,3,2,3,3,5,
mall_kerry_center,B0FFG56P7H,杭州嘉里中心,mall,延安路385号(凤起路地铁站C4口步行90米),120.162495,30.260281,10:00-22:00,[],medium,150,4.9,amap,"嘉里中心,商场,休息补给","mall,rest,shelter",25,low,medium,2,3,5,5,3,2,3,3,5,
mall_hubin88,B0GRK54YP4,杭州湖滨88,mall,平海路124号(龙翔桥地铁站B口步行150米),120.16245,30.25471,10:00-22:00,[],medium,50,4.7,amap,"湖滨88,商场,休息","mall,rest,near-metro",25,low,medium,2,3,5,5,3,2,3,3,5,
rest_hubin_pedestrian,B0FFL9RQ5O,湖滨步行街,rest,凤起路539-4号(龙翔桥地铁站C口步行120米),120.162923,30.254158,10:00-22:00,[],medium,0,4.8,amap,"步行街,湖滨,低消费","rest,walk,shopping-street",25,low,medium,3,3,3,4,3,3,3,5,4,
snack_panfangchun_jianjiao,B0LGR5BX67,泮芳春煎饺(龙翔桥店),snack,延安路298号龙翔大厦F1层,120.16422,30.256386,06:00-22:00,[],medium,16,4.7,amap,"小吃,低预算,龙翔桥","snack,budget,quick",25,low,medium,1,2,2,4,2,3,5,5,5,
snack_mizong_dabao,B023B1H5QV,南方迷宗大包(湖滨店),snack,邮电路82号1楼(龙翔桥地铁站C口步行330米),120.163844,30.251703,06:30-17:00,[],medium,11,4.7,amap,"小吃,低预算,湖滨","snack,budget,quick",20,low,medium,1,2,2,4,2,3,5,5,5,
